Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
0.19999999,4.8599997,9.5,-0.049999997,-0.02,0.08,1545105340414,0
0.04,4.83,11.12,-0.12,-0.099999994,0.0,1545105340614,0
0.0,4.06,8.099999,-0.07,-0.089999996,0.21,1545105340814,0
1.0,5.23,8.12,-0.06,0.089999996,0.57,1545105341015,0
1.4599999,5.1099997,8.8,-0.099999994,0.089999996,0.19999999,1545105341214,0
1.23,3.37,8.099999,-0.01,0.099999994,0.21,1545105341414,0
0.45,7.87,8.429999,-0.08,0.14,0.06,1545105341614,0
0.0,3.31,8.72,0.13,0.049999997,-0.02,1545105341814,0
1.14,6.98,9.42,0.17999999,0.04,0.089999996,1545105342014,0
0.25,5.25,10.26,-0.03,0.089999996,-0.22,1545105342214,0
-0.11,3.36,8.9,0.099999994,-0.02,-0.42,1545105342414,0
0.75,5.5699997,7.3799996,-0.03,-0.06,-0.19,1545105342614,0
-0.08,3.6799998,8.19,0.01,-0.08,-0.14,1545105342814,0
0.53999996,6.58,8.03,-0.04,-0.049999997,-0.03,1545105343014,0
0.65,4.48,7.77,0.0,-0.08,0.03,1545105343214,0
-0.08,5.41,8.88,0.0,-0.08,0.03,1545105343414,0
0.51,3.87,8.78,0.12,-0.099999994,0.049999997,1545105343614,0
0.79999995,5.92,7.6299996,0.08,-0.02,0.11,1545105343814,0
-0.11,3.54,8.429999,0.03,0.04,0.37,1545105344014,0
2.33,3.9599998,8.38,0.12,0.099999994,0.089999996,1545105344214,0
-0.59,3.98,8.47,0.03,0.089999996,-0.37,1545105344414,1
1.41,4.9,7.62,0.12,-0.03,-0.29999998,1545105344614,1
1.1899999,3.6699998,8.53,0.03,0.03,-0.84,1545105344817,1
-1.11,2.78,11.45,0.03,0.03,-0.84,1545105345014,1
0.59999996,5.99,8.92,-0.07,-0.06,-0.26999998,1545105345214,1
-3.4199998,5.8599997,10.08,0.28,-0.34,-1.26,1545105345415,1
-1.0,4.91,9.75,0.28,-0.34,-1.26,1545105345614,1
-1.99,3.87,8.17,0.5,-0.29999998,-1.4499999,1545105345814,1
-0.42999998,3.6299999,6.29,0.37,-0.39,-0.35,1545105346014,1
-0.45,2.1599998,10.15,0.32999998,-0.32,-1.35,1545105346213,1
-4.5499997,2.1699998,9.19,0.5,-0.52,-1.75,1545105346414,1
-1.1,-0.44,4.61,0.82,-0.62,-1.01,1545105346614,1
0.28,3.52,8.7699995,0.44,-0.51,-0.53,1545105346815,1
-3.48,2.8799999,8.49,0.31,-0.39999998,-0.57,1545105347014,1
-1.04,5.13,8.23,0.45999998,-0.37,-0.37,1545105347214,1
-0.61,5.47,10.28,0.21,-0.35,-0.79999995,1545105347414,1
-1.76,4.04,10.46,0.12,-0.35999998,-0.45,1545105347614,1
-0.74,4.8599997,8.61,0.12,-0.35999998,-0.45,1545105347814,1
-1.4499999,4.1,9.16,0.12,-0.38,-0.5,1545105348014,1
-1.39,4.8199997,9.88,0.17,-0.35,-0.39999998,1545105348214,1
-2.12,5.6299996,11.01,0.14,-0.34,0.26999998,1545105348413,1
-0.31,4.5699997,11.309999,0.14,-0.34,0.26999998,1545105348614,1
-1.66,2.57,9.23,-0.04,-0.099999994,0.65,1545105348814,1
-0.13,4.24,9.23,-0.049999997,-0.04,0.53,1545105349014,1
-0.049999997,4.0,9.38,0.12,0.089999996,0.45,1545105349214,1
1.4,6.49,8.26,0.13,0.13,0.08,1545105349414,0
0.31,3.6899998,8.24,0.0,-0.03,-0.66999996,1545105349616,0
0.06,3.8899999,9.71,-0.13,-0.22,-0.71999997,1545105349819,0
0.48,4.37,8.36,-0.13,-0.22,-0.71999997,1545105350014,0
0.91999996,4.64,7.79,-0.13,-0.14999999,-0.26,1545105350214,0
