Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
0.049999997,-3.6899998,9.29,0.04,-0.16,0.29999998,1545103575710,0,9.996134178956385
-1.8299999,-5.98,8.09,-0.07,-0.01,0.14,1545103575910,0,10.225331272579878
-1.1899999,-3.6699998,9.0199995,0.0,0.099999994,-0.28,1545103576110,0,9.81047344800445
0.66999996,-4.96,8.32,0.099999994,-0.089999996,-0.07,1545103576310,0,9.709423255085753
0.66999996,-4.96,8.32,-0.06,-0.03,0.17999999,1545103576510,0,9.709423255085753
-0.57,-4.06,8.179999,0.06,0.12,-0.44,1545103576710,0,9.149911673890683
-0.03,-2.81,10.66,-0.03,0.08,0.16,1545103576910,0,11.024182509374562
1.15,-4.79,7.7999997,-0.03,-0.17,0.07,1545103577110,0,9.225323588904624
-2.61,-6.2,9.57,0.049999997,-0.02,0.12,1545103577310,0,11.69773482346048
-2.61,-6.2,9.57,0.099999994,0.11,-0.35,1545103577510,0,11.69773482346048
0.81,-3.12,12.48,0.0,-0.07,0.22,1545103577710,0,12.88956554737203
-2.6499999,-7.2,7.77,-0.14,-0.14999999,0.53999996,1545103577910,0,10.919496301112062
-1.9,-8.13,6.23,0.01,0.26,-0.59999996,1545103578110,0,10.417283715057396
-1.9,-8.13,6.23,-0.07,-0.03,0.089999996,1545103578310,0,10.417283715057396
0.56,-6.25,9.33,-0.07,-0.38,0.42,1545103578510,0,11.243887228178696
-1.3,-8.36,9.13,0.049999997,0.049999997,-0.39999998,1545103578710,0,12.447349115373923
-1.09,-3.4399998,7.18,0.04,0.21,-0.02,1545103578910,0,8.035801056770882
1.9699999,-5.49,7.54,-0.049999997,-0.22,0.17999999,1545103579110,0,9.532712080305373
-0.35,-4.44,8.36,-0.01,0.01,0.16,1545103579310,0,9.472365068978284
-0.35,-4.44,8.36,0.07,0.17999999,-0.25,1545103579510,0,9.472365068978284
1.8,-5.77,7.0099998,-0.12,0.06,-0.04,1545103579710,0,9.255970894293048
-0.21,-3.9199998,8.2,0.03,-0.14999999,0.45999998,1545103579910,0,9.091231953481334
-0.21,-3.9199998,8.2,0.07,0.03,-0.22999999,1545103580109,1,9.091231953481334
0.02,-6.21,7.74,0.08,0.19,-0.26,1545103580310,1,9.923310939399208
1.42,-6.46,7.0699997,-0.01,-0.02,0.14999999,1545103580509,1,9.681575065969385
1.42,-6.46,7.0699997,-0.01,0.089999996,0.089999996,1545103580710,1,9.681575065969385
-0.58,-6.6299996,7.24,0.07,0.41,-0.12,1545103580910,1,9.834169751229647
-2.45,-5.22,8.309999,0.0,-0.089999996,0.42999998,1545103581110,1,10.11469146242242
-2.11,-3.59,8.679999,-0.01,-0.14999999,-0.14,1545103581310,1,9.627179370926928
-2.11,-3.59,8.679999,-0.03,-0.28,-0.39,1545103581510,1,9.627179370926928
-3.6599998,-1.29,8.91,-0.02,-0.5,-0.68,1545103581710,1,9.718425723130267
-4.45,2.1599998,2.55,-0.22999999,-0.98999995,-1.26,1545103581910,1,5.565123460984495
38.469997,-22.15,38.739998,-0.04,-2.1599998,-2.32,1545103582109,1,58.918168795542286
2.75,-10.94,3.59,-0.51,-0.35999998,-1.1,1545103582309,1,11.837829192888364
6.3999996,3.73,3.4299998,-0.71,-0.19999999,-0.56,1545103582509,1,8.163197505144673
-1.2099999,-2.87,3.11,-0.53999996,-0.14999999,0.17999999,1545103582709,1,4.401488357135573
-5.23,-20.439999,-14.7699995,0.32,0.29999998,-2.34,1545103582909,1,25.75459850881006
9.5199995,8.65,6.7999997,0.42,-1.39,-0.39999998,1545103583109,1,14.549669631988225
6.08,6.25,0.12,0.14999999,0.13,0.08,1545103583309,1,8.720280958776499
6.2799997,7.7599998,0.75,0.0,-0.01,0.03,1545103583509,1,10.010918695504431
6.23,7.4199996,0.71,0.0,0.0,0.03,1545103583709,1,9.714596958392056
6.3199997,7.64,0.83,0.0,0.0,0.01,1545103583909,1,9.949919407110798
6.41,7.74,0.78999996,0.0,0.0,0.0,1545103584112,0,10.080664657491589
6.3999996,7.72,0.83,0.0,0.0,0.0,1545103584309,0,10.062171479357731
6.3599997,7.6699996,0.79999995,0.0,0.0,0.0,1545103584509,0,9.995923667575711
6.37,7.72,0.84,0.0,0.0,0.0,1545103584709,0,10.043948426789138
6.39,7.68,0.77,0.0,0.0,0.0,1545103584909,0,10.020349295309021
6.37,7.7599998,0.81,0.0,0.0,0.0,1545103585109,0,10.07226870650302
6.37,7.7599998,0.81,0.0,0.0,0.0,1545103585310,0,10.07226870650302
6.35,7.62,0.82,0.0,0.0,0.0,1545103585510,0,9.95285386208398
