Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-0.11,-6.3199997,7.45,0.0,0.0,0.0,1545103995304,0,9.770209629685542
-0.31,-5.64,7.73,0.02,0.03,-0.19999999,1545103995503,0,9.573849800367666
0.51,-5.12,8.25,0.08,0.08,0.02,1545103995703,0,9.723013936017988
-0.29,-6.5699997,6.6299996,0.04,0.0,-0.11,1545103995904,0,9.338409433838304
-0.51,-6.81,9.719999,0.0,0.06,-0.04,1545103996104,0,11.879165819197953
-0.48999998,-4.5299997,6.6499996,-0.01,-0.08,0.29999998,1545103996304,0,8.061233897016029
0.19999999,-7.2799997,6.22,0.0,-0.03,-0.26999998,1545103996504,0,9.57741069538109
0.19999999,-7.2799997,6.22,-0.08,0.12,-0.11,1545103996703,0,9.57741069538109
-1.14,-4.99,9.91,0.04,0.04,0.01,1545103996903,0,11.153824456212318
0.31,-5.54,6.54,0.01,-0.099999994,0.16,1545103997103,0,8.576671848683498
-0.84999996,-4.21,12.82,-0.01,0.13,-0.22,1545103997303,0,13.520318041081726
-0.90999997,-4.87,7.41,0.22,0.14999999,-0.13,1545103997502,0,8.913646837596833
-1.8299999,-3.58,7.4199996,0.0,-0.12,0.48999998,1545103997702,0,8.439294620879174
-1.17,-6.2799997,4.74,-0.089999996,-0.22,0.0,1545103997902,0,7.95455191899582
-0.35999998,-7.3399997,7.18,0.089999996,-0.03,-0.35999998,1545103998102,0,10.274122618579169
0.71,-7.27,9.76,-0.049999997,0.099999994,-0.26999998,1545103998303,0,12.190758795087367
-1.86,-8.0199995,10.48,-0.16,0.089999996,0.03,1545103998502,0,13.327054887708696
-1.09,-5.39,5.04,-0.06,0.16,0.06,1545103998702,0,7.4593431346198305
-0.63,-5.14,1.2099999,-0.02,-0.04,0.29,1545103998902,0,5.317950710377072
-0.14,-5.16,9.84,0.12,-0.22999999,0.17,1545103999102,0,11.111741537670861
0.34,-8.92,5.58,0.06,0.089999996,-0.26999998,1545103999303,0,10.527031870380178
-0.44,-5.71,3.1399999,-0.26999998,0.07,0.22,1545103999502,0,6.531255573930637
-0.89,-5.49,7.81,0.0,-0.02,0.22999999,1545103999702,0,9.587924697242881
-0.22999999,-10.96,4.94,0.01,-0.01,-0.03,1545103999902,0,12.024063372895204
-2.05,-8.099999,3.1499999,-0.06,0.26999998,0.0,1545104000102,0,8.929444729097158
-1.24,-5.2799997,6.91,-0.26,-0.53,0.64,1545104000303,0,8.784309695815608
-1.89,-4.8199997,7.3799996,0.06,-0.82,-0.76,1545104000528,1,9.01492602321285
-1.89,-4.8199997,7.3799996,0.17999999,-0.39999998,-1.6899999,1545104000702,1,9.01492602321285
-0.42999998,-2.12,8.98,-0.07,-0.64,-2.06,1545104000903,1,9.236866350814005
6.33,21.42,9.889999,0.049999997,-1.22,-3.23,1545104001104,1,24.427389959224072
11.23,11.2,1.55,-0.26999998,-0.24,-3.53,1545104001304,1,15.93597816263564
-7.73,33.0,25.35,-0.77,3.1799998,-9.99,1545104001504,1,42.32464294001782
3.8799999,10.07,6.14,0.45,0.16,-1.1,1545104001703,1,12.416074227548739
3.8799999,10.07,6.14,-0.04,0.0,0.089999996,1545104001903,1,12.416074227548739
0.71999997,9.9,0.45999998,0.0,0.0,0.03,1545104002104,1,9.936800286732144
0.71999997,9.9,0.45999998,0.0,-0.01,0.01,1545104002304,1,9.936800286732144
0.59,9.849999,0.9,0.0,0.0,0.0,1545104002502,1,9.908611421384986
0.44,9.88,0.82,0.0,0.0,0.0,1545104002702,0,9.923729137778803
0.51,9.9,0.77,0.0,0.0,0.0,1545104002902,0,9.942987478620296
0.42,9.86,0.69,0.0,0.0,0.0,1545104003103,0,9.893032901997243
0.45999998,9.889999,0.78999996,0.0,0.0,0.0,1545104003303,0,9.932158886083176
0.48,9.91,0.69,0.0,0.0,0.0,1545104003502,0,9.945581933703025
0.45,9.86,0.76,0.0,0.0,0.0,1545104003702,0,9.8994797843119
0.44,9.86,0.77,0.0,0.0,0.0,1545104003902,0,9.899803028343543
