Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
0.22999999,5.16,10.61,0.17,-0.02,0.01,1545105317864,0,11.80044914379957
0.16,4.6,7.66,0.01,-0.02,0.049999997,1545105318064,0,8.9365093856606
0.53999996,4.29,7.2999997,0.01,0.02,0.0,1545105318264,0,8.484438436148858
0.55,4.73,9.65,-0.06,-0.01,-0.14999999,1545105318464,0,10.760943267204786
0.08,5.5299997,8.79,-0.04,-0.01,0.0,1545105318664,0,10.385152703836381
0.19,4.8399997,8.26,0.089999996,0.0,-0.099999994,1545105318864,0,9.575452840257743
-0.32,5.6,7.27,0.0,-0.049999997,-0.21,1545105319064,0,9.182336304013264
0.45,5.27,8.0,0.14,-0.089999996,-0.25,1545105319264,0,9.590380597244303
0.42999998,4.38,10.13,0.0,-0.14,-0.28,1545105319464,0,11.044736302094316
0.55,6.0899997,7.46,0.03,-0.099999994,0.13,1545105319664,0,9.64583829151205
-0.24,3.35,11.0,0.01,0.01,0.26,1545105319865,0,11.501308621196111
-0.06,4.61,7.3799996,-0.11,0.02,0.14999999,1545105320064,0,8.701729373865872
0.66999996,5.25,10.49,-0.13,0.0,0.07,1545105320263,0,11.749531903288744
0.41,5.19,9.09,-0.13,0.0,0.07,1545105320464,0,10.475318610906305
1.1899999,4.37,8.889999,-0.07,0.07,0.19999999,1545105320664,0,9.977228171290912
0.44,5.02,7.8799996,-0.01,0.04,-0.07,1545105320867,1,9.353523063316846
-0.04,5.0899997,9.67,-0.01,0.04,-0.07,1545105321064,1,10.927881631222041
0.45999998,3.34,8.7699995,-0.08,0.07,0.08,1545105321275,1,9.395748571114504
0.9,4.8399997,8.76,-0.08,0.07,0.08,1545105321464,1,10.048542038325763
0.45,4.67,9.929999,0.13,0.0,0.0,1545105321664,1,10.982544338175968
0.14999999,4.36,7.5899997,0.13,0.01,-0.17,1545105321864,1,8.754438613811859
-0.04,5.1,10.28,-0.06,0.02,-0.35,1545105322063,1,11.475626344561762
0.72999996,4.17,7.75,0.07,0.03,-0.08,1545105322264,1,8.830871980818202
1.23,5.2799997,10.889999,0.049999997,-0.049999997,-1.42,1545105322463,1,12.164841760253237
-1.05,3.79,11.719999,0.049999997,-0.049999997,-1.42,1545105322664,1,12.362239949135471
2.18,2.8799999,9.79,0.24,-0.32,-1.54,1545105322866,1,10.435080230836752
-0.58,3.9399998,11.42,0.24,-0.32,-1.54,1545105323063,1,12.094478013705265
-2.36,0.88,10.42,0.65,-0.42,-1.3199999,1545105323266,1,10.720093283176224
-3.61,4.25,8.7699995,0.26999998,-0.42,-0.82,1545105323464,1,10.392665261134907
0.12,2.07,9.34,0.21,-0.58,-0.75,1545105323664,1,9.56738731315922
-0.78999996,4.72,9.63,0.39999998,-0.48999998,-0.55,1545105323864,1,10.753576146417526
-0.78999996,2.61,8.05,0.44,-0.42,-0.39999998,1545105324064,1,8.499335264407447
-0.69,5.22,9.53,0.44,-0.42,-0.39999998,1545105324264,1,10.887855619909734
-0.12,4.44,10.15,0.16,-0.39,-0.62,1545105324463,1,11.079282467741312
-0.84999996,4.38,9.21,0.16,-0.39,-0.62,1545105324664,1,10.233816489071906
-0.13,4.22,8.99,0.19,-0.29,-0.44,1545105324864,1,9.932039065569567
-1.5,3.59,8.78,0.14,-0.17,-0.48999998,1545105325064,1,9.60346291709402
-1.11,1.9599999,8.62,-0.07,-0.29999998,-0.95,1545105325264,1,8.90943879310027
-1.04,4.0099998,7.9199996,0.12,-0.31,-0.90999997,1545105325464,1,8.938013876695436
-1.81,4.7,8.2699995,0.32,-0.38,-0.97999996,1545105325664,1,9.682922685325968
-2.0,3.87,8.5,0.21,-0.47,-0.59,1545105325863,1,9.55127740147882
-1.8399999,5.52,8.91,0.16,-0.48,0.0,1545105326064,1,10.641621099813694
0.39,5.6299996,8.36,0.0,-0.19999999,0.74,1545105326264,1,10.086555184799225
0.049999997,5.41,8.73,0.12,-0.02,0.63,1545105326464,1,10.270516053232184
0.87,5.67,6.23,-0.02,0.02,0.42999998,1545105326664,1,8.468689390927029
0.25,5.95,6.58,-0.06,0.01,-0.02,1545105326867,0,8.874761968638934
1.1999999,5.8599997,7.94,-0.06,0.01,-0.02,1545105327064,0,9.94098567768811
0.72999996,5.22,8.5199995,-0.049999997,0.01,0.02,1545105327264,0,10.018567333785818
1.13,5.06,8.23,0.03,0.0,-0.02,1545105327478,0,9.726941965489463
-0.03,4.06,11.0,0.03,0.0,-0.02,1545105327664,0,11.725378458710832
