Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-1.8,-6.12,3.7099998,0.0,0.0,0.0,1545103885429,0,7.379600159629249
-3.34,-4.99,5.93,0.04,-0.14,0.12,1545103885690,0,8.439229822679318
-1.87,-6.7999997,7.45,0.02,-0.02,0.02,1545103885890,0,10.258625440086997
-0.78999996,-7.45,5.83,-0.049999997,0.01,-0.25,1545103886090,0,9.4929184098885
-2.46,-5.94,6.6499996,0.06,-0.07,0.17,1545103886290,0,9.249740249325933
-2.59,-7.35,7.6699996,-0.049999997,-0.099999994,-0.12,1545103886490,0,10.934326401932593
0.26999998,-7.7,4.43,0.0,0.55,-0.7,1545103886690,0,8.887508086589852
-2.82,-5.3399997,5.41,0.0,0.55,-0.7,1545103886890,0,8.107780016502673
-1.8199999,-5.83,7.29,-0.089999996,-0.14,0.88,1545103887090,0,9.510278630828859
0.26999998,-6.23,4.89,0.049999997,0.32,-0.90999997,1545103887290,0,7.924512602627369
-1.3199999,-5.91,6.5099998,-0.02,0.17,0.25,1545103887488,0,8.891040272768988
-2.45,-4.87,9.42,0.08,0.08,0.12,1545103887688,0,10.883740165953983
-1.4,-3.4499998,7.23,0.03,0.04,-0.07,1545103887888,0,8.13236734413787
-3.3,-7.31,9.13,0.0,0.07,0.45999998,1545103888088,0,12.152489456897298
-2.3799999,-4.13,6.7999997,-0.02,-0.45,0.22999999,1545103888288,0,8.304293795621643
-1.88,-3.1699998,4.91,-0.049999997,-0.089999996,-0.22,1545103888488,0,6.1393321079739644
-3.56,-5.91,11.509999,0.26,0.7,-0.96999997,1545103888688,0,13.419455167032714
-5.02,-6.42,7.72,0.0,-0.07,0.78999996,1545103888888,0,11.225649201716577
0.69,-8.7699995,5.6,-0.22,-0.22999999,-0.13,1545103889088,0,10.42827844037549
-0.89,-9.55,7.83,0.01,0.34,-0.44,1545103889288,0,12.3815790592315
-3.9599998,-2.86,9.51,0.13,-0.01,0.45,1545103889488,0,10.691178532603411
-3.99,-6.1099997,6.35,-0.17999999,-0.39999998,0.13,1545103889688,0,9.673401487274273
-1.5799999,-6.83,7.68,0.03,-0.04,-0.32,1545103889888,0,10.398446984237598
-4.5499997,-9.17,2.9199998,-0.03,0.32,-0.25,1545103890088,0,10.645083189059639
-1.39,-7.5299997,11.48,0.01,-0.07,-0.099999994,1545103890288,0,13.799398373914716
-1.61,-6.0099998,11.13,0.08,0.06,0.14999999,1545103890511,1,12.751043000319624
-0.51,-7.73,9.44,0.08,0.06,0.14999999,1545103890690,1,12.211740252724015
-0.42999998,-4.14,8.59,-0.089999996,0.0,0.45999998,1545103890888,1,9.545292032347675
-0.58,-5.73,7.22,0.01,-0.03,0.58,1545103891090,1,9.235675394902096
-0.32,-0.14,12.009999,-0.049999997,-0.06,0.78,1545103891290,1,12.015077027634947
-1.65,-6.1,12.65,-0.14,0.35,1.35,1545103891490,1,14.140544543970009
-0.96,-2.34,-1.25,-0.45,0.84999996,2.12,1545103891690,1,2.8212940293418547
-39.75,39.6,15.0199995,0.12,2.59,3.08,1545103891890,1,58.08461831655607
-3.83,1.53,-39.7,0.12,2.59,3.08,1545103892090,1,39.913654305262504
-6.85,0.39,4.5299997,-1.9799999,-0.01,-1.54,1545103892290,1,8.221648087944416
-21.59,-1.25,7.6099997,-0.7,0.19999999,2.45,1545103892488,1,22.926026594985885
-39.969997,11.73,18.66,0.089999996,1.41,-2.74,1545103892688,1,45.64415800713174
-7.8799996,4.46,0.11,-0.04,0.0,-0.06,1545103892888,0,9.055279879495727
-8.73,0.22,2.86,-0.04,0.31,-0.56,1545103893088,0,9.189172976933234
-9.66,-1.65,0.82,-0.01,0.17,-0.25,1545103893288,0,9.834149683627965
-9.7699995,-1.14,0.45,0.02,-0.17,0.22999999,1545103893488,0,9.84657251179314
-9.429999,0.45999998,1.91,0.02,-0.17,0.28,1545103893688,0,9.632475337191423
-9.5,0.48,1.8199999,0.0,0.03,-0.07,1545103893888,0,9.684668277024258
-9.76,-0.71999997,1.42,0.0,0.11,-0.19,1545103894088,0,9.889003992152091
-9.639999,-0.88,1.22,0.0,-0.01,0.01,1545103894288,0,9.75665827627477
