Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-2.85,-6.5,6.5699997,0.0,0.0,0.0,1545104049295,0,9.671473313720103
-1.38,-7.31,6.2,0.0,0.0,0.0,1545104049495,0,9.684033250665758
-2.1399999,-7.3399997,6.8199997,0.02,0.02,-0.049999997,1545104049695,0,10.245369250349164
-2.54,-6.24,7.0099998,0.02,0.099999994,-0.14,1545104049895,0,9.722617815999971
-2.01,-5.42,6.6499996,0.07,0.0,-0.04,1545104050095,0,8.811299261743422
-1.63,-6.43,6.8999996,-0.02,0.11,0.0,1545104050296,0,9.571405042103283
-2.31,-6.6499996,6.72,-0.01,-0.24,0.42,1545104050496,0,9.732265649888527
-1.37,-5.5699997,7.71,0.049999997,-0.16,0.04,1545104050696,0,9.609677240053388
-1.03,-6.75,6.6,0.11,0.21,-0.5,1545104050895,0,9.49649408992603
-0.91999996,-4.08,7.5099998,-0.049999997,-0.07,0.41,1545104051096,0,8.596097772966525
-2.98,-5.6099997,8.26,0.099999994,0.12,-0.03,1545104051294,0,10.420177380160094
-0.89,-6.0499997,6.89,0.02,-0.04,-0.06,1545104051494,0,9.21231221626797
-3.22,-6.97,11.79,-0.08,0.06,-0.01,1545104051694,0,14.069591323133732
-1.48,-6.3799996,7.4199996,-0.02,-0.21,0.39999998,1545104051894,0,9.89702929974446
-1.8,-6.49,4.97,-0.03,0.0,0.14999999,1545104052094,0,8.370244918758353
-2.54,-4.47,7.3199997,-0.01,0.06,-0.02,1545104052294,0,8.945104561043436
-1.77,-6.94,5.31,-0.04,-0.11,0.21,1545104052494,0,8.91586226901246
-0.62,-6.39,9.17,-0.07,-0.24,0.0,1545104052694,0,11.193989458633592
-2.26,-6.98,12.73,0.0,0.099999994,-0.32999998,1545104052894,0,14.69288603372394
-1.8399999,-4.83,7.89,-0.01,0.08,-0.04,1545104053094,0,9.43221074997797
-1.28,-3.57,2.1,0.099999994,-0.01,0.12,1545104053294,0,4.335123988999623
-2.72,-8.05,4.89,-0.07,0.01,0.099999994,1545104053494,0,9.803723782318635
-0.5,-6.33,9.41,-0.07,-0.049999997,-0.13,1545104053694,0,11.351960183157798
-0.52,-2.72,8.45,-0.17999999,-0.08,0.01,1545104053894,0,8.892204451090853
-2.3799999,-6.41,9.12,-0.01,0.01,0.16,1545104054094,0,11.398548132284217
-0.75,-8.3,7.37,0.0,0.14,-0.35999998,1545104054294,0,11.125169661627638
-2.11,-6.0699997,5.39,0.07,0.14,0.16,1545104054496,0,8.387436816930432
-2.6,-6.89,8.679999,-0.089999996,-0.16,0.48999998,1545104054696,0,11.383078785636204
-3.1299999,-5.5699997,6.66,-0.02,-0.01,-0.26,1545104054896,0,9.229160093529643
-2.29,-5.45,8.73,0.089999996,0.07,-0.099999994,1545104055095,0,10.543220570584683
-1.2099999,-3.1,7.87,-0.02,-0.13,0.22,1545104055295,0,8.544647433218062
-1.2099999,-3.1,7.87,-0.01,-0.06,-0.02,1545104055495,0,8.544647433218062
-4.27,-10.5199995,4.5699997,0.13,0.21,-0.17999999,1545104055696,0,12.23879841888085
-1.06,-9.17,4.56,-0.14,-0.37,0.07,1545104055896,0,10.295926378913167
-0.34,-8.98,7.17,-0.16,0.17999999,-0.12,1545104056095,0,11.496299404591028
0.19,-5.5299997,4.52,0.0,0.06,0.53999996,1545104056296,0,7.144746089400245
0.19,-5.5299997,4.52,-0.06,0.089999996,0.84,1545104056495,0,7.144746089400245
1.25,-5.99,2.85,-0.19999999,0.19,0.98999995,1545104056695,0,6.750192589845123
-1.11,-3.03,2.83,-0.28,0.58,1.39,1545104056896,0,4.292074090693217
-1.11,-3.03,2.83,-0.38,1.15,2.6399999,1545104057095,1,4.292074090693217
-13.63,-17.17,-22.96,-0.68,-0.94,-3.56,1545104057306,1,31.745037407443704
-13.63,-17.17,-22.96,-2.1,-2.5,-2.36,1545104057505,1,31.745037407443704
9.13,9.65,6.3599997,-1.79,-0.31,-2.1299999,1545104057706,1,14.728509638928172
-2.09,1.11,8.41,-1.36,-0.08,1.62,1545104057906,1,8.73660689283889
-39.969997,25.23,32.51,-1.16,2.82,0.55,1545104058106,1,57.367705725259825
-9.4,-0.11,6.12,-0.02,-0.39999998,0.07,1545104058306,0,11.217241193805187
-9.4,-0.11,6.12,0.0,0.24,-0.56,1545104058505,0,11.217241193805187
-8.55,-1.31,1.5999999,-0.04,0.37,-0.59,1545104058705,0,8.796510653662622
-10.139999,-1.73,-0.14,0.0,-0.03,0.03,1545104058906,0,10.287471979062737
-9.429999,-0.31,1.54,0.03,-0.29999998,0.45,1545104059104,0,9.559946712194636
